idade,sexo,tempo_como_cliente,frequencia_uso,ligacoes_callcenter,dias_atraso,assinatura,duracao_contrato,total_gasto,meses_ultima_interacao,cancelou
44,Masculino,39,4,3,2,Prêmio,Trimestral,771,4,Não
32,Masculino,7,7,1,8,Básico,Anual,862,16,Não
48,Feminino,10,2,2,3,Prêmio,Anual,888,11,Não
31,Masculino,55,2,3,3,Básico,Anual,802,26,Não
47,Masculino,37,2,3,3,Básico,Trimestral,726,1,Não
21,Feminino,43,8,0,4,Prêmio,Trimestral,617,11,Não
37,Feminino,39,4,1,6,Básico,Trimestral,716,4,Não
40,Feminino,7,5,3,7,Prêmio,Anual,932,3,Não
37,Masculino,47,2,1,19,Básico,Anual,942,12,Não
31,Feminino,46,2,2,19,Padrão,Anual,978,1,Não
23,Masculino,29,7,2,7,Básico,Trimestral,664,18,Não
49,Feminino,27,9,0,20,Básico,Anual,989,3,Não
48,Masculino,55,1,2,1,Básico,Trimestral,932,5,Não
37,Feminino,57,7,1,8,Básico,Anual,785,7,Não
23,Masculino,29,3,2,15,Padrão,Anual,798,5,Não
38,Masculino,56,5,1,2,Padrão,Trimestral,549,28,Não
49,Feminino,35,6,1,0,Básico,Trimestral,891,9,Não
19,Masculino,60,3,0,19,Prêmio,Trimestral,725,9,Não
41,Feminino,54,4,2,1,Padrão,Anual,517,6,Não
29,Masculino,47,3,0,0,Básico,Trimestral,743,17,Não
23,Masculino,26,9,2,2,Prêmio,Trimestral,818,4,Não
32,Masculino,39,5,3,9,Prêmio,Trimestral,768,16,Não
32,Masculino,27,4,0,8,Padrão,Trimestral,825,10,Não
45,Feminino,7,2,4,0,Padrão,Trimestral,576,15,Não
32,Masculino,36,10,2,13,Padrão,Anual,658,20,Não
39,Masculino,24,10,0,2,Padrão,Trimestral,573,8,Não
36,Feminino,4,6,2,6,Prêmio,Trimestral,655,13,Não
47,Masculino,46,3,0,9,Prêmio,Anual,917,23,Não
34,Masculino,38,10,2,9,Básico,Anual,500,19,Não
24,Masculino,6,6,0,3,Padrão,Anual,817,15,Não
30,Masculino,49,4,3,2,Padrão,Trimestral,791,5,Não
50,Masculino,60,9,4,4,Prêmio,Anual,806,9,Não
43,Feminino,1,3,3,16,Padrão,Anual,944,15,Não
40,Masculino,56,8,1,0,Padrão,Trimestral,853,6,Não
37,Feminino,55,6,1,17,Padrão,Trimestral,510,2,Não
30,Masculino,33,7,1,11,Padrão,Trimestral,874,2,Não
25,Feminino,26,10,2,17,Padrão,Trimestral,842,5,Não
44,Masculino,40,7,3,13,Básico,Trimestral,820,23,Não
45,Feminino,8,6,3,0,Básico,Trimestral,776,3,Não
29,Masculino,25,5,0,18,Prêmio,Anual,799,10,Não
41,Feminino,52,4,3,20,Prêmio,Trimestral,530,12,Não
29,Masculino,59,6,0,13,Básico,Trimestral,623,28,Não
34,Feminino,45,4,2,14,Prêmio,Anual,951,9,Não
25,Masculino,51,7,0,9,Padrão,Trimestral,935,24,Não
19,Masculino,38,7,1,17,Padrão,Trimestral,833,12,Não
48,Feminino,59,4,4,9,Básico,Anual,972,15,Não
41,Masculino,3,6,0,7,Prêmio,Trimestral,742,27,Não
34,Masculino,38,8,1,3,Prêmio,Trimestral,743,10,Não
47,Masculino,42,1,2,6,Padrão,Anual,875,25,Não
22,Masculino,46,6,1,4,Básico,Anual,676,1,Não
44,Feminino,29,8,1,0,Padrão,Anual,994,1,Não
22,Feminino,33,2,1,3,Básico,Anual,694,10,Não
44,Feminino,54,3,2,19,Básico,Trimestral,810,6,Não
41,Masculino,52,2,0,12,Prêmio,Anual,691,27,Não
18,Masculino,12,10,0,7,Padrão,Trimestral,778,7,Não
19,Feminino,26,7,1,7,Prêmio,Anual,858,2,Não
33,Masculino,5,6,2,5,Prêmio,Trimestral,528,6,Não
27,Masculino,52,6,0,16,Padrão,Trimestral,750,21,Não
32,Masculino,37,2,2,4,Básico,Anual,709,25,Não
33,Masculino,18,10,3,10,Básico,Trimestral,907,20,Não
31,Feminino,45,10,2,5,Padrão,Trimestral,733,12,Não
44,Feminino,27,8,3,19,Básico,Anual,987,8,Não
33,Masculino,31,9,3,18,Prêmio,Anual,830,15,Não
41,Feminino,47,8,4,8,Padrão,Trimestral,932,14,Não
39,Masculino,27,10,3,13,Padrão,Trimestral,627,14,Não
43,Feminino,11,4,4,6,Prêmio,Anual,755,13,Não
19,Masculino,38,5,1,7,Prêmio,Anual,516,26,Não
39,Masculino,40,9,2,5,Básico,Anual,882,15,Não
46,Feminino,3,9,4,1,Padrão,Anual,517,6,Não
47,Masculino,28,8,0,7,Básico,Trimestral,722,9,Não
24,Masculino,44,10,0,10,Prêmio,Trimestral,700,17,Não
41,Masculino,29,9,3,13,Padrão,Trimestral,600,18,Não
39,Masculino,5,6,0,18,Padrão,Anual,709,2,Não
30,Feminino,53,1,0,1,Prêmio,Trimestral,538,5,Não
47,Masculino,30,2,1,6,Básico,Trimestral,794,14,Não
29,Masculino,31,1,2,1,Básico,Anual,606,1,Não
19,Feminino,54,1,0,18,Prêmio,Trimestral,841,10,Não
31,Masculino,34,2,2,18,Básico,Anual,794,26,Não
25,Feminino,31,6,0,17,Prêmio,Trimestral,903,6,Não
28,Masculino,54,4,2,12,Básico,Anual,600,22,Não
31,Masculino,10,7,1,17,Padrão,Trimestral,507,20,Não
49,Masculino,59,10,1,13,Básico,Anual,692,18,Não
36,Feminino,26,2,1,20,Prêmio,Trimestral,627,13,Não
26,Feminino,9,3,2,4,Prêmio,Trimestral,619,3,Não
24,Feminino,45,7,1,8,Básico,Anual,859,10,Não
19,Masculino,47,6,0,13,Padrão,Trimestral,790,19,Não
45,Masculino,32,7,1,12,Básico,Anual,520,15,Não
49,Masculino,10,2,1,16,Básico,Trimestral,620,11,Não
28,Feminino,30,5,0,17,Padrão,Trimestral,515,12,Não
31,Masculino,2,2,0,7,Prêmio,Trimestral,882,8,Não
50,Masculino,26,6,2,9,Padrão,Anual,697,1,Não
48,Masculino,38,3,3,2,Básico,Trimestral,646,3,Não
37,Feminino,7,3,2,15,Básico,Trimestral,693,13,Não
26,Feminino,58,10,2,19,Básico,Trimestral,646,9,Não
24,Masculino,25,9,2,20,Padrão,Anual,811,9,Não
48,Feminino,57,7,0,9,Padrão,Trimestral,908,15,Não
37,Masculino,33,8,0,15,Padrão,Anual,965,11,Não
20,Masculino,10,4,2,1,Básico,Anual,905,23,Não
26,Feminino,27,3,0,12,Básico,Anual,883,13,Não
22,Masculino,2,5,1,4,Prêmio,Trimestral,880,18,Não
44,Masculino,58,3,4,3,Padrão,Trimestral,818,15,Não
46,Feminino,11,2,1,4,Prêmio,Trimestral,698,2,Não
49,Feminino,36,7,0,4,Básico,Anual,955,1,Não
33,Feminino,37,2,3,20,Prêmio,Anual,616,10,Não
34,Feminino,56,10,2,2,Prêmio,Trimestral,830,10,Não
42,Masculino,51,5,4,3,Padrão,Anual,893,11,Não
49,Masculino,49,8,3,3,Prêmio,Trimestral,836,15,Não
45,Masculino,6,6,1,10,Prêmio,Trimestral,894,12,Não
27,Masculino,29,3,2,7,Básico,Trimestral,776,12,Não
39,Masculino,44,10,0,11,Prêmio,Anual,806,20,Não
43,Masculino,43,3,2,12,Prêmio,Trimestral,983,23,Não
21,Masculino,36,9,2,12,Padrão,Trimestral,779,18,Não
41,Masculino,11,10,1,3,Básico,Trimestral,904,14,Não
29,Feminino,28,8,2,20,Padrão,Anual,988,15,Não
22,Masculino,45,9,1,12,Prêmio,Trimestral,710,18,Não
42,Feminino,54,9,1,5,Prêmio,Trimestral,986,6,Não
44,Masculino,59,4,0,10,Padrão,Anual,839,19,Não
41,Masculino,27,2,4,13,Prêmio,Anual,840,30,Não
45,Masculino,6,4,3,3,Prêmio,Trimestral,537,22,Não
28,Masculino,33,7,1,7,Padrão,Trimestral,670,10,Não
22,Masculino,58,1,1,19,Básico,Anual,684,26,Não
43,Masculino,45,8,1,6,Padrão,Trimestral,879,18,Não
26,Feminino,56,2,0,8,Prêmio,Anual,643,11,Não
45,Masculino,8,8,4,12,Padrão,Trimestral,953,29,Não
35,Masculino,35,9,1,3,Básico,Anual,502,18,Não
36,Masculino,38,8,3,15,Padrão,Trimestral,764,30,Não
32,Feminino,43,6,2,1,Prêmio,Anual,712,3,Não
48,Feminino,60,3,4,15,Básico,Anual,535,2,Não
45,Masculino,8,3,1,16,Básico,Trimestral,568,10,Não
48,Masculino,37,10,0,0,Básico,Anual,969,5,Não
36,Masculino,38,5,0,6,Básico,Trimestral,866,13,Não
47,Feminino,59,6,2,16,Padrão,Trimestral,978,12,Não
32,Masculino,32,6,0,10,Prêmio,Trimestral,859,11,Não
42,Feminino,28,3,1,17,Prêmio,Trimestral,682,14,Não
25,Masculino,33,3,2,15,Padrão,Trimestral,977,30,Não
44,Masculino,11,4,1,10,Padrão,Anual,725,26,Não
22,Feminino,51,7,0,20,Básico,Trimestral,609,10,Não
23,Feminino,53,7,2,10,Prêmio,Anual,696,7,Não
29,Masculino,39,6,1,12,Prêmio,Trimestral,673,21,Não
30,Masculino,51,6,0,6,Prêmio,Anual,776,8,Não
23,Masculino,47,8,0,20,Padrão,Anual,963,16,Não
39,Masculino,8,1,3,0,Prêmio,Trimestral,872,29,Não
26,Masculino,10,3,1,17,Básico,Trimestral,611,11,Não
43,Masculino,34,2,1,6,Básico,Anual,631,23,Não
26,Masculino,26,8,2,10,Básico,Trimestral,672,13,Não
47,Masculino,46,2,0,4,Prêmio,Trimestral,630,17,Não
43,Masculino,53,5,4,10,Padrão,Trimestral,982,1,Não
33,Masculino,40,6,1,3,Padrão,Trimestral,695,15,Não
33,Masculino,41,3,3,5,Básico,Anual,878,3,Não
27,Masculino,26,3,0,14,Prêmio,Trimestral,812,15,Não
47,Feminino,32,3,1,16,Básico,Trimestral,935,15,Não
46,Masculino,25,10,2,15,Básico,Trimestral,951,20,Não
26,Feminino,6,6,2,9,Básico,Anual,825,13,Não
26,Masculino,32,8,0,19,Padrão,Anual,592,20,Não
46,Masculino,4,4,1,13,Prêmio,Trimestral,930,8,Não
46,Feminino,48,3,4,10,Básico,Anual,701,12,Não
23,Masculino,47,7,2,17,Básico,Anual,875,7,Não
24,Masculino,2,8,1,6,Prêmio,Trimestral,580,14,Não
20,Masculino,4,4,0,17,Prêmio,Anual,694,26,Não
36,Feminino,57,5,1,2,Padrão,Anual,611,6,Não
19,Masculino,50,5,1,10,Padrão,Trimestral,634,30,Não
30,Masculino,38,4,0,10,Prêmio,Trimestral,586,17,Não
34,Masculino,47,6,1,1,Padrão,Anual,895,30,Não
39,Masculino,5,3,2,8,Prêmio,Trimestral,513,7,Não
40,Masculino,57,5,3,3,Padrão,Trimestral,820,13,Não
20,Feminino,1,2,2,4,Prêmio,Trimestral,710,12,Não
34,Masculino,50,9,3,13,Prêmio,Anual,602,22,Não
35,Feminino,41,2,3,18,Básico,Trimestral,719,4,Não
40,Feminino,59,6,2,3,Padrão,Trimestral,547,11,Não
46,Feminino,8,1,3,12,Padrão,Anual,882,8,Não
20,Masculino,48,9,2,17,Básico,Anual,605,12,Não
30,Masculino,54,5,0,5,Padrão,Anual,557,11,Não
44,Masculino,57,2,2,3,Básico,Anual,557,25,Não
31,Feminino,59,2,1,6,Padrão,Trimestral,504,15,Não
47,Masculino,49,9,3,20,Padrão,Trimestral,855,23,Não
44,Masculino,19,10,2,20,Básico,Trimestral,566,14,Não
29,Masculino,28,5,2,7,Básico,Anual,593,11,Não
32,Feminino,42,4,3,7,Básico,Trimestral,525,11,Não
22,Masculino,26,10,2,15,Padrão,Anual,623,2,Não
35,Masculino,59,4,0,10,Padrão,Trimestral,835,19,Não
40,Masculino,47,3,4,7,Padrão,Trimestral,999,12,Não
24,Masculino,59,6,2,14,Padrão,Trimestral,735,27,Não
46,Masculino,35,1,3,19,Básico,Trimestral,659,16,Não
31,Masculino,27,5,2,8,Básico,Anual,834,18,Não
46,Feminino,60,7,2,7,Prêmio,Trimestral,951,8,Não
23,Masculino,40,2,0,2,Padrão,Trimestral,561,3,Não
49,Feminino,39,9,2,2,Padrão,Anual,628,2,Não
32,Masculino,37,8,2,3,Prêmio,Trimestral,870,27,Não
47,Masculino,33,6,4,19,Prêmio,Anual,763,25,Não
18,Masculino,8,6,0,5,Padrão,Anual,646,24,Não
29,Masculino,57,6,0,5,Básico,Anual,658,2,Não
50,Masculino,38,3,1,20,Padrão,Trimestral,783,25,Não
28,Masculino,10,7,0,8,Padrão,Trimestral,685,30,Não
29,Feminino,55,5,0,14,Básico,Anual,590,10,Não
44,Feminino,48,3,0,16,Padrão,Anual,884,2,Não
40,Masculino,51,10,1,4,Padrão,Anual,549,12,Não
24,Masculino,53,8,1,15,Padrão,Anual,630,13,Não
46,Masculino,30,9,3,16,Prêmio,Trimestral,983,29,Não
29,Masculino,54,6,2,14,Básico,Trimestral,776,16,Não
25,Masculino,57,1,1,19,Prêmio,Trimestral,919,5,Não
45,Feminino,52,4,2,0,Básico,Anual,540,8,Não
40,Masculino,45,10,0,15,Padrão,Trimestral,994,14,Não
38,Feminino,6,3,1,2,Prêmio,Anual,683,3,Não
27,Feminino,60,5,1,16,Padrão,Trimestral,942,5,Não
47,Masculino,36,2,1,9,Padrão,Trimestral,623,19,Não
34,Masculino,31,8,1,4,Padrão,Anual,886,17,Não
44,Masculino,25,1,2,16,Prêmio,Anual,929,2,Não
39,Masculino,49,4,3,0,Básico,Trimestral,808,1,Não
30,Masculino,4,8,3,10,Padrão,Trimestral,857,12,Não
29,Masculino,54,10,1,0,Padrão,Anual,748,23,Não
31,Feminino,47,5,0,19,Padrão,Trimestral,953,3,Não
44,Masculino,57,6,2,3,Básico,Trimestral,642,30,Não
45,Feminino,57,10,1,1,Prêmio,Trimestral,645,13,Não
28,Masculino,55,6,1,5,Básico,Anual,718,23,Não
49,Masculino,10,1,3,16,Padrão,Trimestral,671,28,Não
39,Masculino,12,10,1,15,Padrão,Anual,554,24,Não
43,Masculino,26,8,0,0,Padrão,Anual,753,11,Não
41,Masculino,29,5,2,19,Prêmio,Anual,608,3,Não
36,Feminino,14,10,2,12,Prêmio,Trimestral,734,3,Não
22,Masculino,49,4,2,3,Padrão,Trimestral,835,15,Não
21,Feminino,16,10,0,13,Básico,Anual,910,8,Não
42,Feminino,51,9,3,19,Básico,Trimestral,624,5,Não
26,Feminino,30,5,0,3,Prêmio,Trimestral,609,9,Não
44,Masculino,43,9,2,20,Prêmio,Anual,923,16,Não
26,Masculino,32,8,1,15,Básico,Trimestral,833,6,Não
46,Masculino,32,9,3,2,Padrão,Trimestral,782,30,Não
41,Masculino,5,10,4,9,Padrão,Trimestral,802,6,Não
34,Masculino,50,6,2,9,Prêmio,Anual,801,10,Não
49,Masculino,43,1,4,7,Padrão,Trimestral,573,3,Não
46,Masculino,34,9,2,6,Prêmio,Trimestral,651,1,Não
45,Feminino,37,4,1,2,Básico,Trimestral,555,7,Não
30,Masculino,38,1,2,20,Padrão,Trimestral,584,30,Não
39,Feminino,56,8,2,14,Básico,Anual,862,4,Não
20,Masculino,7,4,1,7,Prêmio,Trimestral,761,19,Não
41,Feminino,50,5,0,17,Padrão,Trimestral,890,3,Não
49,Masculino,36,10,0,1,Básico,Anual,738,1,Não
42,Masculino,52,10,2,6,Prêmio,Anual,962,8,Não
50,Feminino,49,3,1,17,Básico,Trimestral,692,11,Não
31,Masculino,40,7,2,5,Prêmio,Anual,638,29,Não
45,Masculino,47,7,0,8,Prêmio,Anual,543,27,Não
31,Masculino,40,1,3,10,Padrão,Trimestral,691,12,Não
46,Masculino,60,6,0,2,Prêmio,Anual,899,21,Não
35,Masculino,26,8,0,11,Padrão,Anual,919,4,Não
24,Feminino,45,9,1,8,Prêmio,Trimestral,743,9,Não
42,Masculino,54,10,2,14,Padrão,Trimestral,536,21,Não
35,Feminino,29,2,2,6,Padrão,Trimestral,942,7,Não
26,Masculino,26,8,2,0,Básico,Trimestral,532,15,Não
35,Masculino,45,8,0,20,Básico,Anual,814,28,Não
39,Masculino,11,2,3,6,Básico,Trimestral,945,20,Não
29,Masculino,6,5,1,17,Padrão,Anual,840,26,Não
35,Masculino,33,5,2,14,Básico,Trimestral,634,25,Não
29,Masculino,54,5,2,1,Padrão,Anual,575,4,Não
47,Masculino,59,7,2,1,Básico,Anual,566,13,Não
42,Feminino,35,5,0,17,Prêmio,Anual,984,12,Não
31,Masculino,47,6,2,17,Prêmio,Trimestral,850,15,Não
43,Masculino,58,4,3,3,Padrão,Trimestral,882,21,Não
39,Feminino,46,5,1,12,Padrão,Anual,894,3,Não
41,Masculino,9,3,0,20,Básico,Anual,808,30,Não
41,Masculino,30,7,4,3,Padrão,Anual,976,30,Não
37,Masculino,9,4,2,5,Básico,Trimestral,688,1,Não
50,Feminino,30,8,4,13,Básico,Anual,720,13,Não
49,Masculino,49,4,0,13,Padrão,Anual,909,17,Não
33,Feminino,38,1,2,9,Padrão,Anual,908,2,Não
26,Masculino,51,7,0,4,Padrão,Anual,803,6,Não
35,Feminino,41,7,2,16,Prêmio,Trimestral,925,5,Não
28,Masculino,13,10,1,9,Básico,Anual,758,27,Não
31,Masculino,47,9,2,2,Padrão,Trimestral,855,8,Não
44,Masculino,5,1,1,17,Padrão,Trimestral,708,30,Não
36,Masculino,14,10,1,3,Prêmio,Anual,538,3,Não
19,Masculino,42,8,0,8,Padrão,Anual,767,22,Não
41,Masculino,39,7,2,17,Básico,Trimestral,624,14,Não
30,Masculino,17,10,1,17,Prêmio,Anual,909,29,Não
41,Feminino,48,10,2,19,Prêmio,Trimestral,613,10,Não
44,Masculino,55,5,3,16,Básico,Trimestral,554,27,Não
27,Masculino,27,7,1,10,Padrão,Anual,700,8,Não
47,Feminino,25,9,2,5,Básico,Anual,762,14,Não
35,Masculino,42,3,1,14,Prêmio,Trimestral,517,29,Não
32,Feminino,33,9,2,15,Padrão,Anual,855,4,Não
28,Feminino,33,3,1,1,Padrão,Anual,827,2,Não
43,Feminino,41,7,0,0,Padrão,Trimestral,638,5,Não
44,Feminino,37,8,3,12,Padrão,Trimestral,978,7,Não
50,Masculino,32,9,3,20,Básico,Trimestral,600,21,Não
40,Masculino,33,4,2,8,Prêmio,Anual,941,3,Não
26,Masculino,4,9,0,8,Prêmio,Trimestral,522,21,Não
34,Masculino,29,8,1,8,Prêmio,Trimestral,998,28,Não
36,Feminino,56,10,0,2,Prêmio,Anual,527,11,Não
19,Feminino,4,5,0,16,Prêmio,Trimestral,596,7,Não
49,Masculino,36,1,3,18,Básico,Trimestral,744,8,Não
26,Masculino,49,2,1,11,Básico,Trimestral,563,4,Não
35,Masculino,42,7,1,14,Prêmio,Trimestral,700,14,Não
48,Masculino,36,8,0,19,Padrão,Anual,833,26,Não
35,Masculino,40,7,3,13,Padrão,Anual,698,4,Não
34,Feminino,44,8,0,9,Básico,Trimestral,742,15,Não
49,Masculino,60,10,2,16,Básico,Anual,653,24,Não
39,Masculino,47,8,0,1,Prêmio,Trimestral,678,20,Não
46,Masculino,54,4,3,2,Prêmio,Trimestral,715,3,Não
32,Feminino,32,6,1,16,Padrão,Trimestral,880,5,Não
32,Feminino,27,5,0,10,Básico,Anual,723,6,Não
26,Masculino,7,5,1,1,Prêmio,Anual,896,13,Não
41,Masculino,28,6,1,12,Padrão,Anual,934,12,Não
35,Masculino,42,10,0,15,Padrão,Anual,639,14,Não
24,Feminino,58,6,1,19,Padrão,Trimestral,550,15,Não
26,Feminino,46,4,1,4,Prêmio,Trimestral,996,10,Não
38,Masculino,22,10,3,11,Prêmio,Anual,740,27,Não
38,Feminino,9,5,3,19,Padrão,Trimestral,875,5,Não
29,Masculino,43,9,2,17,Prêmio,Anual,526,13,Não
48,Masculino,55,9,4,8,Prêmio,Anual,656,22,Não
42,Masculino,49,6,0,3,Padrão,Anual,983,25,Não
36,Masculino,54,8,2,11,Padrão,Trimestral,577,30,Não
48,Masculino,60,5,4,15,Básico,Anual,506,19,Não
47,Feminino,29,4,3,16,Básico,Anual,884,11,Não
33,Masculino,27,1,2,15,Básico,Anual,646,12,Não
43,Masculino,11,8,3,8,Prêmio,Trimestral,603,16,Não
47,Masculino,40,5,1,5,Prêmio,Anual,901,25,Não
25,Masculino,22,10,1,20,Padrão,Anual,987,29,Não
34,Feminino,42,7,3,12,Prêmio,Anual,793,3,Não
40,Masculino,50,6,1,4,Prêmio,Trimestral,667,25,Não
32,Feminino,34,6,2,12,Prêmio,Anual,704,14,Não
39,Masculino,38,6,2,17,Padrão,Anual,877,20,Não
21,Masculino,56,8,1,4,Básico,Anual,789,19,Não
30,Masculino,3,4,3,6,Prêmio,Trimestral,820,24,Não
48,Masculino,37,2,2,0,Básico,Anual,870,21,Não
49,Masculino,46,3,1,6,Prêmio,Trimestral,887,17,Não
45,Feminino,45,3,2,10,Básico,Trimestral,893,4,Não
45,Masculino,25,4,3,6,Prêmio,Trimestral,534,4,Não
30,Feminino,4,1,3,15,Padrão,Anual,523,14,Não
50,Masculino,46,1,1,16,Prêmio,Trimestral,662,13,Não
43,Masculino,37,10,1,20,Básico,Trimestral,676,9,Não
46,Masculino,29,1,4,9,Prêmio,Anual,566,12,Não
18,Masculino,35,9,0,17,Prêmio,Anual,617,14,Não
27,Masculino,9,9,1,13,Padrão,Anual,947,14,Não
46,Masculino,32,9,4,9,Básico,Trimestral,648,12,Não
38,Masculino,38,9,3,17,Básico,Anual,968,16,Não
45,Masculino,46,2,2,4,Padrão,Anual,912,5,Não
36,Masculino,30,2,1,0,Padrão,Trimestral,818,3,Não
23,Feminino,50,3,1,18,Prêmio,Anual,673,11,Não
20,Masculino,57,6,1,1,Padrão,Trimestral,976,7,Não
31,Feminino,51,1,2,20,Básico,Trimestral,707,4,Não
42,Feminino,8,1,0,1,Padrão,Trimestral,721,13,Não
43,Masculino,42,4,0,1,Prêmio,Anual,886,21,Não
23,Masculino,54,5,0,5,Básico,Trimestral,730,10,Não
20,Feminino,35,6,1,11,Prêmio,Anual,564,6,Não
36,Masculino,6,5,1,1,Padrão,Trimestral,701,23,Não
22,Feminino,42,5,1,7,Padrão,Anual,661,14,Não
21,Feminino,7,7,1,16,Padrão,Anual,704,9,Não
36,Feminino,40,5,2,16,Prêmio,Trimestral,938,3,Não
27,Masculino,48,8,1,6,Prêmio,Anual,664,27,Não
46,Masculino,38,8,4,3,Prêmio,Anual,583,5,Não
40,Feminino,43,4,4,8,Prêmio,Anual,530,8,Não
47,Masculino,36,6,2,14,Prêmio,Anual,717,10,Não
43,Masculino,37,4,0,4,Padrão,Anual,954,21,Não
49,Feminino,4,1,2,1,Prêmio,Trimestral,982,7,Não
31,Masculino,41,5,3,10,Padrão,Trimestral,954,12,Não
38,Masculino,50,6,1,13,Prêmio,Anual,516,13,Não
26,Masculino,38,2,1,18,Padrão,Anual,739,1,Não
37,Masculino,42,2,2,10,Padrão,Trimestral,969,26,Não
44,Feminino,28,4,0,12,Padrão,Trimestral,639,2,Não
43,Masculino,31,9,3,4,Básico,Trimestral,685,13,Não
46,Masculino,43,4,1,10,Básico,Trimestral,642,6,Não
41,Feminino,44,9,1,7,Básico,Anual,674,5,Não
50,Masculino,1,10,1,1,Padrão,Anual,637,21,Não
45,Masculino,37,2,3,15,Prêmio,Anual,817,6,Não
50,Masculino,29,7,3,10,Padrão,Trimestral,895,23,Não
24,Masculino,40,9,0,3,Padrão,Trimestral,545,22,Não
44,Masculino,25,1,1,9,Básico,Trimestral,921,27,Não
43,Masculino,35,1,3,14,Básico,Trimestral,859,6,Não
31,Masculino,34,6,0,10,Básico,Trimestral,916,18,Não
21,Feminino,9,3,2,12,Básico,Anual,911,13,Não
49,Masculino,27,2,1,12,Prêmio,Trimestral,869,11,Não
35,Masculino,29,4,0,5,Padrão,Trimestral,848,2,Não
28,Feminino,48,5,2,11,Básico,Anual,502,2,Não
31,Masculino,44,9,2,3,Padrão,Anual,590,8,Não
40,Feminino,43,4,0,0,Básico,Trimestral,873,10,Não
45,Masculino,40,7,4,18,Básico,Anual,658,29,Não
28,Masculino,37,3,2,5,Prêmio,Trimestral,526,5,Não
42,Feminino,31,6,0,14,Básico,Trimestral,943,9,Não
38,Masculino,51,7,2,9,Padrão,Anual,640,12,Não
46,Masculino,5,8,1,20,Prêmio,Anual,938,3,Não
25,Masculino,51,6,1,17,Prêmio,Trimestral,614,16,Não
20,Masculino,13,10,0,2,Básico,Anual,948,19,Não
23,Masculino,27,3,0,2,Padrão,Trimestral,511,14,Não
34,Masculino,27,4,1,4,Prêmio,Trimestral,869,10,Não
28,Masculino,58,5,2,14,Prêmio,Anual,748,17,Não
45,Masculino,33,4,0,8,Prêmio,Trimestral,960,5,Não
38,Masculino,51,9,2,10,Básico,Trimestral,976,8,Não
37,Feminino,9,6,0,13,Básico,Anual,720,4,Não
27,Feminino,56,9,0,11,Básico,Trimestral,642,9,Não
23,Feminino,59,1,2,20,Básico,Anual,959,1,Não
48,Masculino,53,10,0,16,Prêmio,Trimestral,977,4,Não
43,Feminino,49,5,2,0,Básico,Trimestral,903,1,Não
38,Masculino,10,1,2,11,Prêmio,Trimestral,559,27,Não
47,Feminino,23,10,2,16,Prêmio,Trimestral,934,2,Não
27,Masculino,28,2,2,5,Básico,Anual,844,28,Não
48,Feminino,48,6,4,6,Padrão,Anual,801,11,Não
47,Masculino,10,2,4,19,Básico,Anual,881,6,Não
46,Masculino,55,1,3,8,Prêmio,Trimestral,894,18,Não
46,Masculino,31,8,0,5,Padrão,Anual,636,22,Não
34,Masculino,40,3,0,16,Prêmio,Anual,912,12,Não
42,Masculino,58,6,4,13,Prêmio,Anual,813,2,Não
35,Masculino,32,7,1,19,Prêmio,Trimestral,617,16,Não
39,Masculino,16,10,1,3,Básico,Trimestral,552,7,Não
48,Feminino,28,4,3,6,Padrão,Anual,663,15,Não
45,Feminino,25,7,3,18,Básico,Trimestral,704,3,Não
48,Masculino,51,3,4,6,Básico,Anual,889,13,Não
47,Feminino,38,7,4,13,Básico,Anual,901,8,Não
32,Feminino,40,2,3,5,Básico,Trimestral,535,14,Não
37,Masculino,48,1,2,9,Prêmio,Trimestral,630,20,Não
28,Feminino,31,9,1,11,Básico,Anual,768,11,Não
31,Masculino,28,4,0,12,Básico,Anual,937,27,Não
33,Feminino,43,9,3,3,Padrão,Trimestral,667,2,Não
23,Feminino,5,8,1,17,Prêmio,Trimestral,896,11,Não
50,Masculino,32,10,2,7,Prêmio,Anual,512,13,Não
45,Masculino,35,6,4,13,Prêmio,Trimestral,855,18,Não
19,Masculino,60,10,0,10,Padrão,Anual,819,16,Não
32,Feminino,19,10,0,15,Básico,Anual,859,7,Não
22,Feminino,45,4,2,16,Padrão,Trimestral,838,12,Não
49,Masculino,37,3,3,14,Básico,Trimestral,907,20,Não
20,Masculino,4,6,1,20,Prêmio,Trimestral,816,24,Não
45,Masculino,11,3,2,9,Padrão,Anual,750,28,Não
21,Masculino,46,4,1,11,Básico,Trimestral,567,22,Não
20,Feminino,30,1,0,6,Básico,Anual,556,11,Não
40,Masculino,50,1,4,15,Prêmio,Anual,521,30,Não
32,Masculino,3,1,0,10,Padrão,Anual,870,17,Não
39,Masculino,41,10,2,0,Prêmio,Trimestral,824,9,Não
40,Masculino,56,2,1,19,Prêmio,Anual,691,6,Não
18,Masculino,8,10,1,3,Básico,Anual,757,3,Não
41,Masculino,7,8,0,4,Padrão,Trimestral,652,29,Não
37,Masculino,50,9,2,18,Básico,Anual,861,29,Não
24,Masculino,56,7,1,4,Padrão,Trimestral,813,2,Não
45,Masculino,31,7,2,10,Padrão,Anual,936,29,Não
28,Masculino,8,10,0,17,Padrão,Trimestral,524,1,Não
50,Masculino,42,7,0,12,Básico,Trimestral,756,18,Não
37,Masculino,31,4,2,1,Prêmio,Trimestral,844,12,Não
36,Masculino,6,4,1,5,Prêmio,Anual,950,16,Não
